Player,Season,VORP,DWS,PER,FTA,TOV,PTS,AllNBA_pred_proba,Class
Allen Iverson,1997,4.5,2.8,20.4,6.7,3.1,22.0,0.18,0
Steve Smith,1997,3.6,1.8,18.8,6.2,2.4,20.1,0.17,0
Arvydas Sabonis,1997,3.8,4.6,20.9,5.5,2.6,16.0,0.12,0
Michael Finley,1997,3.8,2.0,19.3,5.1,2.7,21.5,0.11,0
Jason Kidd,1997,4.0,4.8,16.4,2.5,3.2,11.6,0.09,0
Patrick Ewing,1997,1.3,2.0,23.3,7.2,3.0,20.8,0.06,0
Shawn Kemp,1997,1.8,5.9,17.5,7.0,3.4,18.0,0.06,0
Antoine Walker,1997,2.2,4.0,17.8,5.8,3.6,22.4,0.06,0
John Stockton,1997,3.6,1.6,21.8,3.6,2.5,12.0,0.06,0
Terrell Brandon,1997,2.5,2.0,20.2,3.1,2.9,16.8,0.06,0
Kevin Garnett,1997,5.0,4.2,20.4,4.0,2.3,18.5,0.05,0
Shareef Abdur-Rahim,1997,2.6,0.6,21.1,7.8,3.1,22.3,0.05,0
Eric Williams,1997,0.1,0.0,17.0,11.3,2.3,19.8,0.05,0
Tim Duncan,1998,3.2,4.7,23.2,7.2,2.9,21.7,0.96,1
Karl Malone,1998,4.0,3.4,25.6,9.8,3.3,23.8,0.92,1
Alonzo Mourning,1998,3.0,3.9,24.6,9.2,3.0,20.1,0.91,1
Grant Hill,1998,3.8,2.8,23.9,7.6,3.7,21.1,0.85,2
Allen Iverson,1998,3.9,2.9,22.2,9.9,3.5,26.8,0.83,1
Shaquille O'Neal,1998,3.9,1.9,30.6,10.2,2.5,26.3,0.82,2
Jason Kidd,1998,3.9,2.3,22.5,4.8,3.0,16.9,0.81,1
Kevin Garnett,1998,3.3,3.0,22.4,4.4,2.9,20.8,0.79,3
Gary Payton,1998,3.6,1.2,23.1,5.5,3.1,21.7,0.75,2
Hakeem Olajuwon,1998,2.3,3.3,23.1,5.4,2.8,18.9,0.75,3
Chris Webber,1998,1.7,2.7,19.5,4.1,3.5,20.0,0.71,2
Tim Hardaway,1998,2.4,1.9,18.8,3.1,2.7,17.4,0.69,2
Antonio McDyess,1998,1.3,1.3,21.7,6.8,2.8,21.2,0.66,3
John Stockton,1998,2.8,2.2,21.9,3.4,2.2,11.1,0.63,3
Kobe Bryant,1998,1.9,1.5,18.9,5.8,3.1,19.9,0.63,3
David Robinson,1998,3.4,4.4,24.9,7.4,2.2,15.8,0.21,0
Darrell Armstrong,1998,3.3,2.7,22.2,3.6,3.2,13.8,0.14,0
Shawn Kemp,1998,2.3,2.1,23.6,9.3,3.0,20.5,0.1,0
Charles Barkley,1998,2.5,2.0,23.1,6.4,2.4,16.1,0.06,0
Keith Van Horn,1998,1.3,1.4,19.6,7.1,3.2,21.8,0.05,0
Dikembe Mutombo,1998,2.6,4.2,18.8,5.7,1.9,10.8,0.04,0
Rod Strickland,1998,2.1,1.3,20.2,5.4,3.2,15.7,0.02,0
Ray Allen,1998,1.9,1.1,18.9,3.9,2.4,17.1,0.02,0
Gary Trent,1998,1.1,1.0,20.8,5.2,1.5,16.0,0.02,0
Juwan Howard,1998,0.8,1.2,17.1,4.1,2.6,18.9,0.01,0
Stephon Marbury,1998,2.2,0.8,20.8,5.7,3.3,21.3,0.01,0
Shareef Abdur-Rahim,1998,2.1,0.9,20.7,8.8,3.7,23.0,0.01,0
Glenn Robinson,1998,1.5,1.5,19.7,3.4,2.3,18.4,0.01,0
Eric Riley,1998,-0.1,0.5,11.8,0.9,0.7,2.2,0.0,0
Billy Owens,1998,-0.2,0.1,11.9,1.7,1.6,7.8,0.0,0
Karl Malone,1999,7.1,4.5,27.1,9.0,2.8,25.5,1.0,2
Tim Duncan,1999,5.5,6.4,24.8,8.1,3.3,23.2,1.0,1
