Player,Season,VORP,DWS,PER,FTA,TOV,PTS,AllNBA_pred_proba,Class
Tim Hardaway,1996,6.5,5.0,20.8,4.5,2.8,20.3,0.8828933355375228,1
Patrick Ewing,1996,3.5,6.9,21.3,7.5,3.4,22.4,0.8808155556565637,2
Gary Payton,1996,6.1,4.7,21.8,4.3,2.6,21.8,0.8663126850855387,2
Scottie Pippen,1996,6.1,5.2,21.3,3.5,2.6,20.2,0.8441304337349799,2
Hakeem Olajuwon,1996,3.9,5.6,22.7,5.7,3.6,23.2,0.8395239090923806,1
Mookie Blaylock,1996,6.8,5.6,20.4,2.2,2.4,17.4,0.8260826989070251,0
Chris Webber,1996,5.1,5.0,21.8,4.3,3.2,20.1,0.7626551418960416,0
Mitch Richmond,1996,5.2,2.1,21.6,6.6,2.9,25.9,0.6974484270613507,2
Terrell Brandon,1996,5.5,4.7,21.5,3.8,2.3,19.5,0.6892669272973927,0
Alonzo Mourning,1996,2.9,5.6,21.6,8.6,3.4,19.8,0.6182742839898274,0
Reggie Miller,1996,5.8,2.7,20.2,5.9,2.0,21.6,0.5691512617679746,0
John Stockton,1996,6.3,3.6,22.1,4.0,3.0,14.4,0.5160103171844889,3
Kenny Anderson,1996,5.0,4.4,19.5,5.3,2.4,17.5,0.46715260954501453,0
Charles Barkley,1996,3.9,3.7,23.0,7.8,2.8,19.2,0.46365933456714736,0
Christian Laettner,1996,3.5,5.4,19.1,5.4,2.7,18.1,0.38498423238366747,0
Tom Gugliotta,1996,2.9,4.2,19.0,7.0,3.6,20.6,0.3394387052910231,0
Kevin Johnson,1996,4.7,1.5,22.9,7.4,3.1,20.1,0.33878785013904655,0
Shawn Kemp,1996,2.0,5.4,20.7,7.5,3.5,18.7,0.3241715802111443,0
Latrell Sprewell,1996,4.0,1.1,19.7,7.3,4.0,24.2,0.31759119255374224,0
Dikembe Mutombo,1996,3.5,6.6,19.0,5.4,2.3,13.3,0.30897881066218835,0
Vin Baker,1996,3.2,3.4,20.1,6.7,3.1,21.0,0.2887711287304702,3
Kendall Gill,1996,4.0,2.2,19.6,6.5,2.7,21.8,0.2536802207865685,0
Anfernee Hardaway,1996,3.9,2.2,21.4,5.8,2.5,20.5,0.20733195890197956,3
Glen Rice,1996,3.2,1.2,19.7,6.8,2.2,26.8,0.1982905210587987,2
Rod Strickland,1996,3.6,3.3,19.7,6.1,3.3,17.2,0.18778675452393376,0
Eddie Jones,1996,4.0,4.3,17.3,4.2,2.1,17.2,0.18488777527080502,0
Michael Jordan,1997,7.1,5.4,25.2,8.8,2.3,28.7,0.9948840177921109,1
Karl Malone,1997,7.1,4.3,27.9,10.2,3.0,27.0,0.9934214363035051,1
David Robinson,1997,6.3,6.0,27.8,9.0,2.8,21.6,0.9847901532105142,2
Shaquille O'Neal,1997,4.3,3.4,28.8,11.4,2.9,28.3,0.9491109911501112,1
Grant Hill,1997,5.6,5.1,21.2,8.0,3.5,21.1,0.9097408416795908,2
Gary Payton,1997,5.7,4.0,21.6,4.6,2.8,19.2,0.6773684169065436,1
Chris Webber,1997,4.7,4.4,20.9,4.7,2.6,21.9,0.6531071730932212,0
Tim Hardaway,1997,5.5,3.8,20.6,4.1,2.8,18.9,0.5575402373262278,2
Allen Iverson,1997,4.5,2.8,20.4,6.7,3.1,22.0,0.48052200528157984,0
Kevin Garnett,1997,5.0,4.2,20.4,4.0,2.3,18.5,0.4600255732336858,0
Arvydas Sabonis,1997,3.8,4.6,20.9,5.5,2.6,16.0,0.28412487343695747,0
Reggie Miller,1997,4.8,2.8,19.8,5.4,1.6,19.5,0.262945750876575,3
Shawn Kemp,1997,1.8,5.9,17.5,7.0,3.4,18.0,0.23153424916728418,0
Antoine Walker,1997,2.2,4.0,17.8,5.8,3.6,22.4,0.2206627078901698,0
Rod Strickland,1997,3.7,3.0,19.6,6.5,3.5,17.8,0.20556195786941778,2
Alonzo Mourning,1997,2.2,3.6,22.4,8.0,3.1,19.2,0.1970505245497465,0
Sam Cassell,1997,3.7,1.7,21.0,6.8,3.6,19.6,0.17659523431249227,0
Mitch Richmond,1997,3.6,1.3,20.4,6.7,2.6,23.2,0.17596416225933387,3
Michael Finley,1997,3.8,2.0,19.3,5.1,2.7,21.5,0.16383690751940744,0
Dikembe Mutombo,1997,3.4,5.2,19.8,5.5,2.0,13.4,0.15878031286985034,3
Wesley Person,1997,4.7,5.0,15.1,2.1,1.3,14.7,0.1390555866269681,0
Eddie Jones,1997,4.4,3.2,18.0,3.8,1.8,16.9,0.12351857161332128,0
Steve Smith,1997,3.6,1.8,18.8,6.2,2.4,20.1,0.10348035784981997,0
Scottie Pippen,1997,2.9,3.0,20.4,4.4,2.5,19.1,0.1016197568973343,3
Vin Baker,1997,2.2,3.5,20.4,6.4,2.1,19.2,0.09799692411897332,2
Jason Kidd,1997,4.0,4.8,16.4,2.5,3.2,11.6,0.0934043441678296,0
Shareef Abdur-Rahim,1997,2.6,0.6,21.1,7.8,3.1,22.3,0.07733874754648089,0
