Player,Season,VORP,DWS,PER,FTA,TOV,PTS,Rookie,RookieNBA_pred_proba,Class
Jermaine O'Neal,1996,-0.2,0.7,13.7,1.7,0.6,4.1,1,0.01,0
Vitaly Potapenko,1996,-1.4,1.7,9.5,1.6,1.4,5.8,1,0.01,0
Shandon Anderson,1996,-0.4,1.2,10.4,1.5,1.1,5.9,1,0.01,0
Othella Harrington,1996,-0.6,1.0,10.8,1.4,1.0,4.8,1,0.0,0
Derek Fisher,1996,-0.1,1.0,11.0,1.5,0.9,3.9,1,0.0,0
Todd Fuller,1996,-0.9,0.3,10.4,1.5,0.7,4.1,1,0.0,0
Steve Nash,1996,-0.2,0.3,10.8,0.8,1.0,3.3,1,0.0,0
Brett Szabo,1996,-0.7,0.5,8.8,0.9,0.6,2.2,1,0.0,0
Jamie Feick,1996,-0.6,0.5,11.1,1.6,0.8,3.7,1,0.0,0
Samaki Walker,1996,-0.4,0.7,12.2,1.7,0.9,5.0,1,0.0,0
Chris Robinson,1996,-0.2,0.2,9.4,0.6,0.8,4.6,1,0.0,0
Ray Owes,1996,-0.4,0.4,11.1,0.8,0.4,3.1,1,0.0,0
Derek Anderson,1997,1.7,2.8,15.3,4.8,1.9,11.7,1,0.99,2
Keith Van Horn,1997,0.7,1.6,15.7,4.9,2.6,19.7,1,0.99,1
Tim Duncan,1997,5.3,7.2,22.6,5.9,3.4,21.1,1,0.98,1
Zydrunas Ilgauskas,1997,2.1,4.9,19.7,3.7,1.8,13.9,1,0.95,1
Ron Mercer,1997,0.4,1.9,14.1,2.8,1.7,15.3,1,0.92,1
Brevin Knight,1997,3.5,4.9,17.1,3.1,2.4,9.0,1,0.9,1
Tim Thomas,1997,0.7,1.3,14.8,3.0,1.5,11.0,1,0.89,2
Cedric Henderson,1997,0.3,4.0,10.7,2.3,2.0,10.1,1,0.88,2
Bobby Jackson,1997,-0.3,0.7,13.6,2.7,2.7,11.6,1,0.85,2
Maurice Taylor,1997,-0.7,0.3,16.1,3.4,1.5,11.5,1,0.71,2
Chauncey Billups,1997,0.5,0.9,13.6,3.3,2.2,11.2,1,0.14,0
Kelvin Cato,1997,0.4,2.0,13.3,1.7,0.6,3.8,1,0.14,0
Danny Fortson,1997,-1.4,0.4,14.3,4.2,2.0,10.2,1,0.12,0
Michael Stewart,1997,0.2,2.6,12.9,1.8,1.0,4.6,1,0.11,0
Lawrence Funderburke,1997,0.4,0.7,16.2,3.1,1.2,9.5,1,0.08,0
