Player,Season,WS/48,PER,PTS,TRB,AST,STL,BLK,Rookie,ClassRookie
Erick Dampier,1996,0.04,11.8,5.1,4.1,0.6,0.3,1.0,1,0
Jerome Kersey,1996,0.102,12.3,6.8,5.2,1.3,1.7,0.7,0,0
Malik Rose,1996,0.1,13.7,3.0,3.0,0.6,0.5,0.3,1,0
Aaron Williams,1996,0.098,16.4,6.2,4.3,0.5,0.5,0.9,0,0
Derek Fisher,1996,0.056,11.0,3.9,1.2,1.5,0.5,0.1,1,0
Sam Cassell,1996,0.108,18.4,15.9,3.0,5.0,1.3,0.3,0,0
Jamie Feick,1996,0.016,11.1,3.7,5.2,0.6,0.4,0.3,1,0
Bryant Reeves,1996,0.042,14.4,16.2,8.1,2.1,0.4,0.9,0,0
Terry Cummings,1996,0.121,15.2,8.2,4.1,0.9,0.7,0.2,0,0
Shawn Bradley,1996,0.062,16.5,13.2,8.4,0.7,0.5,3.4,0,0
Cedric Ceballos,1996,0.082,16.2,14.6,6.6,1.3,0.7,0.5,0,0
Brian Shaw,1996,0.029,10.4,7.2,2.5,4.1,0.9,0.3,0,0
Eric Williams,1996,0.056,13.3,15.0,4.6,1.8,1.0,0.2,0,0
Jermaine O'Neal,1996,0.087,13.7,4.1,2.8,0.2,0.0,0.6,1,0
Ron Mercer,1997,0.073,14.1,15.3,3.5,2.2,1.6,0.2,1,1
Keith Van Horn,1997,0.098,15.7,19.7,6.6,1.7,1.0,0.4,1,1
Zydrunas Ilgauskas,1997,0.189,19.7,13.9,8.8,0.9,0.6,1.6,1,1
Cedric Henderson,1997,0.072,10.7,10.1,4.0,2.0,1.2,0.5,1,2
Tim Duncan,1997,0.192,22.6,21.1,11.9,2.7,0.7,2.5,1,1
Bobby Jackson,1997,-0.014,13.6,11.6,4.4,4.7,1.5,0.2,1,2
Derek Anderson,1997,0.139,15.3,11.7,2.8,3.4,1.3,0.2,1,2
Brevin Knight,1997,0.163,17.1,9.0,3.2,8.2,2.5,0.2,1,1
Tim Thomas,1997,0.091,14.8,11.0,3.7,1.2,0.7,0.2,1,2
Maurice Taylor,1997,0.057,16.1,11.5,4.2,0.7,0.5,0.6,1,2
Chauncey Billups,1997,0.065,13.6,11.2,2.4,3.9,1.3,0.1,1,0
Danny Fortson,1997,0.051,14.3,10.2,5.6,1.0,0.6,0.4,1,0
Lawrence Funderburke,1997,0.092,16.2,9.5,4.5,1.2,0.4,0.3,1,0
Tony Battie,1997,0.015,13.3,8.4,5.4,0.9,0.8,1.1,1,0
Tracy McGrady,1997,0.081,17.4,7.0,4.2,1.5,0.8,1.0,1,0
Michael Stewart,1997,0.081,12.9,4.6,6.6,0.8,0.4,2.4,1,0
Ed Gray,1997,0.083,13.0,7.6,1.5,1.1,0.5,0.4,1,0
Anthony Johnson,1997,0.008,8.6,7.5,2.2,4.3,0.8,0.1,1,0
Shawn Bradley,1997,0.077,17.7,11.4,8.1,0.9,0.8,3.3,0,0
Jerald Honeycutt,1997,0.029,11.8,6.4,2.4,0.9,0.5,0.2,1,0
Eric Washington,1997,-0.008,9.6,7.7,1.9,1.2,0.8,0.4,1,0
Antonio Daniels,1997,-0.032,9.9,7.8,1.9,4.5,0.7,0.1,1,0
Johnny Newman,1997,0.06,14.9,14.7,1.9,1.9,1.0,0.3,0,0
Dikembe Mutombo,1997,0.177,19.8,13.4,11.4,1.0,0.4,3.4,0,0
Tom Chambers,1997,0.369,31.5,6.0,2.0,0.0,2.0,0.0,0,0
Eldridge Recasner,1997,0.095,13.0,9.3,2.4,2.0,0.7,0.0,0,0
Walt Williams,1997,0.071,13.4,10.3,3.4,2.1,1.0,0.6,0,0
Mark Strickland,1997,0.157,17.4,6.8,4.2,0.5,0.4,0.7,0,0
Robert Pack,1997,-0.093,9.0,7.8,2.8,3.5,1.7,0.1,0,0
Chris Anstey,1997,0.044,13.2,5.9,3.8,0.9,0.8,0.7,1,0
Mike Bibby,1998,0.035,14.8,13.2,2.7,6.5,1.6,0.1,1,1
Paul Pierce,1998,0.144,19.2,16.5,6.4,2.4,1.7,1.0,1,1
Vince Carter,1998,0.136,19.6,18.3,5.7,3.0,1.1,1.5,1,1
Jason Williams,1998,0.055,12.8,12.8,3.1,6.0,1.9,0.0,1,1
Cuttino Mobley,1998,0.077,12.2,9.9,2.3,2.5,0.9,0.5,1,2
Antawn Jamison,1998,0.105,16.6,9.6,6.4,0.7,0.8,0.3,1,2
Michael Olowokandi,1998,-0.01,11.8,8.9,7.9,0.6,0.6,1.2,1,2
Matt Harpring,1998,0.113,13.0,8.2,4.3,0.9,0.6,0.1,1,1
Michael Dickerson,1998,0.069,11.5,10.9,1.7,1.9,0.5,0.2,1,2
Michael Doleac,1998,0.138,13.7,6.2,3.0,0.4,0.4,0.3,1,2
Raef LaFrentz,1998,0.144,18.9,13.8,7.6,0.7,0.8,1.4,1,0
Larry Hughes,1998,0.117,16.7,9.1,3.8,1.5,0.9,0.3,1,0
Kornél Dávid,1998,0.09,13.6,6.2,3.5,0.8,0.5,0.3,1,0
