Player,Season,TS%,WS/48,VORP,PTS,TRB,AST,STL,BLK,AllNBA
Calvin Natt,1988,0.501,0.036,-0.2,6.3,3.3,0.8,0.3,0.1,0
Ray Tolbert,1988,0.467,0.005,-0.3,2.1,1.8,0.3,0.3,0.3,0
Corey Gaines,1988,0.472,0.035,-0.1,2.1,0.6,2.1,0.5,0.0,0
Ralph Lewis,1988,0.492,-0.005,-0.1,3.2,1.5,0.4,0.3,0.1,0
Randolph Keys,1988,0.457,0.037,-0.3,4.0,1.3,0.5,0.3,0.1,0
José Ortiz,1988,0.477,-0.01,-0.4,2.8,1.1,0.2,0.2,0.1,0
T.R. Dunn,1988,0.41,0.088,0.1,1.0,1.8,0.7,0.4,0.0,0
Mark McNamara,1988,0.575,0.106,-0.2,2.9,2.6,0.3,0.1,0.1,0
John Starks,1988,0.494,-0.002,-0.1,4.1,1.1,0.8,0.6,0.1,0
Anthony Frederick,1988,0.543,0.025,-0.1,3.3,1.1,0.4,0.3,0.1,0
Bill Jones,1988,0.533,0.089,0.1,3.5,1.3,0.5,0.5,0.2,0
Avery Johnson,1988,0.378,0.045,0.1,1.6,0.6,1.7,0.5,0.1,0
Jack Haley,1988,0.56,0.064,-0.3,2.2,1.4,0.2,0.2,0.0,0
Pete Myers,1988,0.505,0.087,0.1,2.9,1.0,1.5,0.6,0.1,0
Dudley Bradley,1988,0.387,0.004,-0.2,1.9,0.8,0.6,0.4,0.1,0
Mark Davis,1988,0.543,0.134,0.1,3.8,1.1,0.4,0.4,0.2,0
Ed Nealy,1988,0.375,0.066,-0.1,0.7,1.8,0.3,0.2,0.0,0
Sidney Lowe,1988,0.385,0.1,0.2,1.6,2.4,6.6,1.0,0.0,0
Tellis Frank,1988,0.472,0.017,-0.3,3.3,1.9,0.5,0.4,0.2,0
Grant Gondrezick,1988,0.466,0.032,0.0,3.9,1.3,1.3,0.5,0.0,0
Brook Steppe,1988,0.546,0.113,0.0,3.8,1.2,0.6,0.4,0.0,0
Duane Ferrell,1988,0.488,0.082,-0.1,2.4,1.0,0.2,0.2,0.1,0
